Distance,Resistance,Voltage,Current,Power
0.4,9999,0.398,3.9804E-05,1.5842E-05
0.4,8999,0.395,4.38938E-05,1.7338E-05
0.4,7999,0.394,4.92562E-05,1.94069E-05
0.4,6999,0.392,5.6008E-05,2.19551E-05
0.4,5999,0.391,6.51775E-05,2.54844E-05
0.4,4999,0.39,7.80156E-05,3.04261E-05
0.4,3999,0.389,9.72743E-05,3.78397E-05
0.4,2999,0.386,0.00012871,4.96819E-05
0.4,1999,0.382,0.000191096,7.29985E-05
0.4,999,0.367,0.000367367,0.000134824
0.4,899,0.364,0.000404894,0.000147382
0.4,799,0.36,0.000450563,0.000162203
0.4,699,0.354,0.000506438,0.000179279
0.4,599,0.346,0.000577629,0.00019986
0.4,499,0.334,0.000669339,0.000223559
0.4,399,0.316,0.00079198,0.000250266
0.4,299,0.285,0.000953177,0.000271656
0.4,199,0.228,0.001145729,0.000261226
0.4,99,0.129,0.00130303,0.000168091
0.4,89,0.116,0.001303371,0.000151191
0.4,79,0.104,0.001316456,0.000136911
0.4,69,0.092,0.001333333,0.000122667
0.4,59,0.079,0.001338983,0.00010578
0.4,49,0.066,0.001346939,8.8898E-05
0.4,39,0.053,0.001358974,7.20256E-05
0.4,29,0.04,0.00137931,5.51724E-05
0.4,19,0.026,0.001368421,3.55789E-05
0.4,9,0.013,0.001444444,1.87778E-05
0.4,8,0.011,0.001375,0.000015125
0.4,7,0.01,0.001428571,1.42857E-05
0.4,6,0.008,0.001333333,1.06667E-05
0.4,5,0.007,0.0014,0.0000098
0.4,4,0.006,0.0015,0.000009
0.4,3,0.004,0.001333333,5.33333E-06
0.4,2,0.003,0.0015,0.0000045
0.4,1,0.002,0.002,0.000004
