Temperature,Voc,Isc,Vmp,Imp,Power
20.5,0.535,1.20E-02,4.11E-01,9.56E-03,3.93E-03
25,0.522,1.20E-02,3.95E-01,9.61E-03,3.80E-03
30,0.507,1.20E-02,3.85E-01,9.61E-03,3.70E-03
35,0.493,1.25E-02,3.85E-01,9.39E-03,3.62E-03
40,0.481,1.25E-02,3.65E-01,9.70E-03,3.54E-03
