Voc,Isc,lnIsc
0.535,1.20E-02,-4.422848629
0.46,3.60E-03,-5.626821434
0.43,2.00E-03,-6.214608098
0.4,1.40E-03,-6.571283042
0.375,1.00E-03,-6.907755279
